"coverage","name","issn","ranking","category","update"
"VIETNAM","Journal of Economics and development","1859-0020","0","General Economics, General Management","2014"
"INTERNATIONAL","The Accounting Review","0001-4826","1","Accounting and Auditing","2014"
"INTERNATIONAL","Accounting, Organization and Society","0361-3682","1","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Accounting and Economics","0165-4101","1","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Accounting Research","0021-8456","1","Accounting and Auditing","2014"
"INTERNATIONAL","Review of Accounting Studies","1380-6653","1","Accounting and Auditing","2014"
"INTERNATIONAL","Accounting Auditing and Accountability Journal","0951-3574","2","Accounting and Auditing","2014"
"INTERNATIONAL","Auditing, A Journal of Practice and Theory","0278-0380","2","Accounting and Auditing","2014"
"INTERNATIONAL","Comptabilité Contrôle Audit","1262-2788","2","Accounting and Auditing","2014"
"INTERNATIONAL","Contemporary Accounting Research","0823-9150","2","Accounting and Auditing","2014"
"INTERNATIONAL","European Accounting Review","0963-8180","2","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Accounting and Public Policy","0278-4254","2","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Business Finance and Accounting","0306-686X","2","Accounting and Auditing","2014"
"INTERNATIONAL","Management Accounting Research","1044-5005","2","Accounting and Auditing","2014"
"INTERNATIONAL","Abacus","0001-3072","3","Accounting and Auditing","2014"
"INTERNATIONAL","Accounting and Business Research","0001-4788","3","Accounting and Auditing","2014"
"INTERNATIONAL","Accounting Horizons","0888-7993","3","Accounting and Auditing","2014"
"INTERNATIONAL","Advances in International Accounting","0897-3660","3","Accounting and Auditing","2014"
"INTERNATIONAL","Behavioral Research in Accounting","1050-4753","3","Accounting and Auditing","2014"
"INTERNATIONAL","British Accounting Review","0890-8389","3","Accounting and Auditing","2014"
"INTERNATIONAL","Critical Perspectives on Accounting","1045-2354","3","Accounting and Auditing","2014"
"INTERNATIONAL","Financial Accountability and Management","0267-4424","3","Accounting and Auditing","2014"
"INTERNATIONAL","International Journal of Accounting","0020-7063","3","Accounting and Auditing","2014"
"INTERNATIONAL","International Journal of Auditing","1090-6738","3","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Accounting Literature","0737-4607","3","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Accounting, Auditing and Finance","0148-558X","3","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Applied Accounting Research","0967-5426","3","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of International Accounting Research","1542-6297","3","Accounting and Auditing","2014"
"INTERNATIONAL","Journal of Management Accounting Research","1044-5005","3","Accounting and Auditing","2014"
"INTERNATIONAL","Accounting and Finance","0810-5391","4","Accounting and Auditing","2014"
"INTERNATIONAL","Management Accounting Quarterly","1528-5359","4","Accounting and Auditing","2014"
"INTERNATIONAL","Managerial Auditing Journal","0268-6902","4","Accounting and Auditing","2014"
"INTERNATIONAL","Review of Accounting and Finance","1475-7702","4","Accounting and Auditing","2014"
"INTERNATIONAL","American Journal of Agricultural Economics","0002-9092","1","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Ecological Economics","0921-8009","1","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Energy Journal","0195-6574","1","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Environmental Economics and Management","0095-0696","1","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Climate Policy","1469-3062","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Energy Economics","0140-9883","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Energy Policy","0301-4215","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Environment and Planning (B, C, D)","0308-518X","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Environmental and Resource Economics","0924-6460","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Environmental Modelling and Assessment","1420-2026","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","European Review of Agricultural Economics","0165-1587","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Resource and Energy Economics","0928-7655","2","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Agricultural Economics","0169-5150","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","AMBIO: A Journal of the Human Environment","0044-7447","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Australian Journal of Agricultural and Resource Economics","1364-985X","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Canadian Journal of Agricultural Economics","0008-3976","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Climatic Change","0165-0009","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Ecological Modelling","0304-3800","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Energy Studies Review","0843-4379","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Environment and Development Economics","1355-770X","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Environmental Science and Policy","1462-9011","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Environmental Values","0963-2719","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Food Policy","0306-9192","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Global Environmental Change","0959-3780","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Agricultural and Food Industrial Organization","1542-0485","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Agricultural and Resource Economics","1068-5502","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Agricultural Economics","0021-857X","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Energy and Development","0361-4476","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Environmental Management","0301-4797","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Environmental Planning and Management","0964-0568","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Wine Economics","1931-4361","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Natural Resources Forum","0165-0203","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Natural Resources Journal","0028-0739","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Resources Policy","0301-4207","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Review of Agricultural Economics","1058-7195","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Society and Natural Resources","0894-1920","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Water Resources Research","0043-1397","3","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Agribusiness","0742-4477","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Agricultural and Resource Economics Review","1068-2805","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Business Strategy and the Environment","0964-4733","4","Agricultural, Environmental and Energy Economics","2014"
