source	ticker	market	date	yyyymmdd	shli	shou	shfn	pref	pcei	pflr	popn	phgh	plow	pbase	pavg	pcls	vlm	trn	adj_pcls	adj_coeff
EXC	AAM	HSX	2016/04/21	20160421				10100	10800	9400	10400	10500	10100		10220	10100	3300	33720000		
EXC	ABT	HSX	2016/04/21	20160421				48500	51500	45200	46900	49500	46900		48630	49500	30	1460000		
EXC	ACC	HSX	2016/04/21	20160421				27700	29600	25800	27100	27500	27100		27140	27500	1760	47780000		
EXC	ACL	HSX	2016/04/21	20160421				9900	10500	9300	0	0	0		0	0	0	0		
EXC	AGF	HSX	2016/04/21	20160421				11400	12100	10700	11500	12100	10700		10960	11000	8090	88630000		
EXC	AGM	HSX	2016/04/21	20160421				13200	14100	12300	13400	13400	12800		13010	13200	20230	263110000		
EXC	AGR	HSX	2016/04/21	20160421				2900	3100	2700	2900	3000	2900		2900	3000	58180	168740000		
EXC	AMD	HSX	2016/04/21	20160421				11700	12500	10900	11600	11900	11600		11770	11800	1358810	15998540000		
EXC	ANV	HSX	2016/04/21	20160421				7100	7500	6700	7100	7400	6800		7020	7400	1550	10880000		
EXC	APC	HSX	2016/04/21	20160421				16800	17900	15700	16800	17100	16700		16880	16800	28600	482860000		
EXC	ASM	HSX	2016/04/21	20160421				17900	19100	16700	17800	18100	17800		17970	18000	1019620	18323460000		
EXC	ASP	HSX	2016/04/21	20160421				5800	6200	5400	5400	5600	5400		5420	5400	173540	940070000		
EXC	ATA	HSX	2016/04/21	20160421				6300	6700	5900	6000	6100	5900		5940	5900	370140	2197300000		
EXC	BBC	HSX	2016/04/21	20160421				70000	74500	65500	70000	71000	69500		69660	70000	8840	615800000		
EXC	BCE	HSX	2016/04/21	20160421				6500	6900	6100	6500	6800	6500		6660	6700	157920	1051100000		
EXC	BCG	HSX	2016/04/21	20160421				6700	7100	6300	6800	7100	6700		6950	7000	572640	3979900000		
EXC	BCI	HSX	2016/04/21	20160421				24400	26100	22700	24100	24400	23800		24170	23800	35610	860560000		
EXC	BFC	HSX	2016/04/21	20160421				32300	34500	30100	32200	32500	32000		32150	32100	67550	2171730000		
EXC	BGM	HSX	2016/04/21	20160421				2800	2900	2700	2800	2900	2700		2730	2700	1264000	3448120000		
EXC	BHS	HSX	2016/04/21	20160421				18900	20200	17600	18900	20000	18900		19370	20000	7285760	141126170000		
EXC	BIC	HSX	2016/04/21	20160421				20200	21600	18800	20500	20900	20200		20400	20300	33370	680790000		
EXC	BID	HSX	2016/04/21	20160421				15700	16700	14700	15800	15900	15600		15760	15900	854710	13473570000		
EXC	BMC	HSX	2016/04/21	20160421				17100	18200	16000	16900	17100	16900		17000	17000	1200	20400000		
EXC	BMI	HSX	2016/04/21	20160421				23800	25400	22200	24000	24000	22400		23850	24000	36420	868500000		
EXC	BMP	HSX	2016/04/21	20160421				133000	142000	124000	135000	137000	134000		134640	135000	105960	14265950000		
EXC	BRC	HSX	2016/04/21	20160421				10100	10800	9400	9700	10200	9700		9700	10200	5410	52480000		
EXC	BSI	HSX	2016/04/21	20160421				9400	10000	8800	9400	9700	9300		9380	9300	1400	13130000		
EXC	BTP	HSX	2016/04/21	20160421				16800	17900	15700	15700	15800	15700		15700	15700	146890	2306270000		
EXC	BTT	HSX	2016/04/21	20160421				37100	39600	34600	0	0	0		0	0	0	0		
EXC	BVH	HSX	2016/04/21	20160421				51500	55000	47900	51000	54500	51000		53170	53000	512950	27272500000		
EXC	C32	HSX	2016/04/21	20160421				47500	50500	44200	47500	50500	47500		49310	50500	276740	13645180000		
EXC	C47	HSX	2016/04/21	20160421				12500	13300	11700	12400	13300	12200		12960	13200	244010	3161460000		
EXC	CAV	HSX	2016/04/21	20160421				73500	78500	68500	73500	74500	73500		73990	74500	92240	6825020000		
EXC	CCI	HSX	2016/04/21	20160421				11000	11700	10300	0	0	0		0	0	0	0		
EXC	CCL	HSX	2016/04/21	20160421				3900	4100	3700	3700	3700	3700		3700	3700	182440	675030000		
EXC	CDC	HSX	2016/04/21	20160421				9400	10000	8800	9600	9600	9100		9250	9400	1630	15070000		
EXC	CDO	HSX	2016/04/21	20160421				29400	31400	27400	29400	29500	29300		29430	29400	1099880	32365030000		
EXC	CIG	HSX	2016/04/21	20160421				1900	2000	1800	1900	1900	1900		1900	1900	200	380000		
EXC	CII	HSX	2016/04/21	20160421				24600	26300	22900	24600	24800	24400		24470	24800	2448200	59903250000		
EXC	CLC	HSX	2016/04/21	20160421				60000	64000	56000	59000	60000	59000		59000	60000	11640	686780000		
EXC	CLG	HSX	2016/04/21	20160421				3800	4000	3600	3700	3900	3600		3630	3900	20470	74280000		
EXC	CLL	HSX	2016/04/21	20160421				25000	26700	23300	24500	25900	24500		25390	25300	32970	837100000		
EXC	CLW	HSX	2016/04/21	20160421				18200	19400	17000	0	0	0		0	0	0	0		
EXC	CMG	HSX	2016/04/21	20160421				14600	15600	13600	14600	15400	14600		14870	14900	25800	383700000		
EXC	CMT	HSX	2016/04/21	20160421				13800	14700	12900	12900	13700	12900		13130	13700	70	920000		
EXC	CMV	HSX	2016/04/21	20160421				14600	15600	13600	14600	14600	14500		14580	14500	12000	175000000		
EXC	CMX	HSX	2016/04/21	20160421				4900	5200	4600	4900	4900	4700		4830	4900	7070	34110000		
EXC	CNG	HSX	2016/04/21	20160421				38000	40600	35400	38900	39200	38300		38880	39000	135630	5272930000		
EXC	COM	HSX	2016/04/21	20160421				46000	49200	42800	42800	44900	42800		43850	44900	20	880000		
EXC	CSM	HSX	2016/04/21	20160421				31400	33500	29300	31300	31800	31300		31570	31600	298860	9436450000		
EXC	CSV	HSX	2016/04/21	20160421				23000	24600	21400	23000	23800	22800		23260	23200	249620	5804930000		
EXC	CTD	HSX	2016/04/21	20160421				170000	181000	159000	178000	178000	170000		176030	170000	356510	62757140000		
EXC	CTG	HSX	2016/04/21	20160421				16000	17100	14900	16100	16100	15900		16020	16000	436360	6989450000		
EXC	CTI	HSX	2016/04/21	20160421				22500	24000	21000	22600	22900	22600		22730	22700	164850	3746350000		
EXC	CYC	HSX	2016/04/21	20160421				2900	3100	2700	0	0	0		0	0	0	0		
EXC	D2D	HSX	2016/04/21	20160421				31000	33100	28900	33100	33100	33000		33010	33100	550	18160000		
EXC	DAG	HSX	2016/04/21	20160421				11100	11800	10400	11100	11300	11100		11220	11200	191860	2152330000		
EXC	DAT	HSX	2016/04/21	20160421				33600	35900	31300	33700	33900	33700		33820	33900	11710	395980000		
EXC	DCL	HSX	2016/04/21	20160421				22800	24300	21300	24300	24300	23100		24160	24300	404350	9771070000		
EXC	DCM	HSX	2016/04/21	20160421				12700	13500	11900	12700	12800	12700		12720	12800	53110	675810000		
EXC	DGW	HSX	2016/04/21	20160421				26200	28000	24400	26900	26900	26600		26720	26600	22850	610480000		
EXC	DHA	HSX	2016/04/21	20160421				24100	25700	22500	24100	24100	23600		23830	23900	74630	1778550000		
EXC	DHC	HSX	2016/04/21	20160421				36800	39300	34300	36800	37200	36700		36880	37200	113050	4169250000		
EXC	DHG	HSX	2016/04/21	20160421				84500	90000	79000	85000	85500	84000		84690	85000	65360	5535190000		
EXC	DHM	HSX	2016/04/21	20160421				10700	11400	10000	10600	10800	10200		10510	10800	1597940	16796650000		
EXC	DIC	HSX	2016/04/21	20160421				6600	7000	6200	6600	6800	6600		6740	6800	181320	1221910000		
EXC	DIG	HSX	2016/04/21	20160421				7800	8300	7300	7800	8100	7700		7920	8000	864080	6843880000		
EXC	DLG	HSX	2016/04/21	20160421				7300	7800	6800	7300	7300	7100		7220	7200	1259930	9096260000		
EXC	DMC	HSX	2016/04/21	20160421				72000	77000	67000	73000	73500	72000		72600	72500	70920	5148690000		
EXC	DPM	HSX	2016/04/21	20160421				29700	31700	27700	29900	29900	29500		29640	29500	521370	15455330000		
EXC	DPR	HSX	2016/04/21	20160421				37600	40200	35000	38400	39000	38100		38480	39000	11900	457950000		
EXC	DQC	HSX	2016/04/21	20160421				65500	70000	61000	65000	67000	65000		65950	67000	13710	904200000		
EXC	DRC	HSX	2016/04/21	20160421				44700	47800	41600	44800	45200	44800		44900	44900	135700	6093240000		
EXC	DRH	HSX	2016/04/21	20160421				36700	39200	34200	38500	38800	37600		38270	38800	144610	5534180000		
EXC	DRL	HSX	2016/04/21	20160421				34000	36300	31700	0	0	0		0	0	0	0		
EXC	DSN	HSX	2016/04/21	20160421				63500	67500	59500	63500	63500	63000		63430	63000	15110	958390000		
EXC	DTA	HSX	2016/04/21	20160421				5000	5300	4700	5100	5100	5100		5100	5100	50	260000		
EXC	DTL	HSX	2016/04/21	20160421				10600	11300	9900	10400	10400	10000		10120	10000	3000	30350000		
EXC	DTT	HSX	2016/04/21	20160421				10200	10900	9500	9500	10900	9500		9600	10900	290	2780000		
EXC	DVP	HSX	2016/04/21	20160421				72000	77000	67000	72500	72500	70500		70840	72500	1660	117590000		
EXC	DXG	HSX	2016/04/21	20160421				15500	16500	14500	15600	15700	15100		15370	15200	567670	8725020000		
EXC	DXV	HSX	2016/04/21	20160421				4100	4300	3900	4100	4100	4100		4100	4100	100	410000		
