code	trading_date	basic_price	ceiling_price	floor_price	open_price	highest_price	lowest_price	average_price	close_price	nm_total_traded_qtty	nm_total_traded_value
AAA	2016-04-21T00:00:00+07:00	18200	20000	16400	18300	18600	18100		18400	976010	17930741700
ACB	2016-04-21T00:00:00+07:00	17700	19400	16000	17700	17700	17500		17700	76583	1348083800
ACM	2016-04-21T00:00:00+07:00	4100	4500	3700	4100	4300	4000		4300	265220	1112202000
ADC	2016-04-21T00:00:00+07:00	21500	23600	19400	19500	23500	19400		23500	1400	27690000
ALT	2016-04-21T00:00:00+07:00	13000	14300	11700	0	0	0		13000	0	0
ALV	2016-04-21T00:00:00+07:00	4200	4600	3800	4100	4200	4100		4200	5200	21630000
AMC	2016-04-21T00:00:00+07:00	31000	34100	27900	31000	31000	31000		31000	1000	31000000
AME	2016-04-21T00:00:00+07:00	4100	4500	3700	4100	4100	4100		4100	200	820000
AMV	2016-04-21T00:00:00+07:00	3900	4200	3600	3900	3900	3900		3900	1000	3900000
APG	2016-04-21T00:00:00+07:00	5900	6400	5400	5800	5800	5700		5800	247600	1411480000
API	2016-04-21T00:00:00+07:00	9300	10200	8400	9200	9400	9200		9400	125400	1156280000
APP	2016-04-21T00:00:00+07:00	10600	11600	9600	10600	10600	10600		10600	3200	33920000
APS	2016-04-21T00:00:00+07:00	2800	3000	2600	2800	2800	2700		2800	86400	241870000
ARM	2016-04-21T00:00:00+07:00	33000	36300	29700	0	0	0		33000	0	0
ASA	2016-04-21T00:00:00+07:00	3000	3300	2700	2900	3000	2900		3000	27000	78500000
ATS	2016-04-21T00:00:00+07:00	15200	16700	13700	14500	14600	14500		14600	10100	146460000
B82	2016-04-21T00:00:00+07:00	5600	6100	5100	0	0	0		5600	0	0
BAM	2016-04-21T00:00:00+07:00	2000	2200	1800	0	0	0		2000	0	0
BBS	2016-04-21T00:00:00+07:00	15400	16900	13900	14500	14500	14500		14500	200	2900000
BCC	2016-04-21T00:00:00+07:00	13900	15200	12600	14100	14200	13900		14000	233220	3262980000
BDB	2016-04-21T00:00:00+07:00	4900	5300	4500	0	0	0		4900	0	0
BED	2016-04-21T00:00:00+07:00	34100	37500	30700	0	0	0		34100	0	0
BHT	2016-04-21T00:00:00+07:00	4000	4400	3600	0	0	0		4000	0	0
BII	2016-04-21T00:00:00+07:00	13100	14400	11800	13000	13800	13000		13800	680300	9019120000
BKC	2016-04-21T00:00:00+07:00	12500	13700	11300	0	0	0		12500	0	0
BLF	2016-04-21T00:00:00+07:00	4200	4600	3800	4200	4300	3900		4100	7000	28540000
BPC	2016-04-21T00:00:00+07:00	13500	14800	12200	13500	13600	13500		13500	14500	196710000
BSC	2016-04-21T00:00:00+07:00	21700	23800	19600	0	0	0		21700	0	0
BST	2016-04-21T00:00:00+07:00	12000	13200	10800	0	0	0		12000	0	0
BTS	2016-04-21T00:00:00+07:00	8200	9000	7400	8200	8600	8200		8600	1910	16034000
BVS	2016-04-21T00:00:00+07:00	13100	14400	11800	13200	13300	13000		13300	157000	2066780000
BXH	2016-04-21T00:00:00+07:00	17600	19300	15900	0	0	0		17600	0	0
C92	2016-04-21T00:00:00+07:00	30000	33000	27000	0	0	0		30000	0	0
CAN	2016-04-21T00:00:00+07:00	27700	30400	25000	0	0	0		27700	0	0
CAP	2016-04-21T00:00:00+07:00	58100	63900	52300	59500	61500	59500		60000	32510	1967980000
CCM	2016-04-21T00:00:00+07:00	17800	19500	16100	0	0	0		17800	0	0
CEO	2016-04-21T00:00:00+07:00	10700	11700	9700	10700	11600	10700		11400	424327	4749982600
CHP	2016-04-21T00:00:00+07:00	20500	22500	18500	20500	20500	20000		20100	66900	1343640000
CID	2016-04-21T00:00:00+07:00	3400	3700	3100	3100	3100	3100		3100	500	1550000
CJC	2016-04-21T00:00:00+07:00	33700	37000	30400	0	0	0		33700	0	0
CKV	2016-04-21T00:00:00+07:00	17600	19300	15900	0	0	0		17600	0	0
CLM	2016-04-21T00:00:00+07:00	11200	12300	10100	12300	12300	12300		12300	100	1230000
CMC	2016-04-21T00:00:00+07:00	4400	4800	4000	0	0	0		4400	0	0
CMI	2016-04-21T00:00:00+07:00	9200	10100	8300	9000	9200	8500		8800	80900	704550000
CMS	2016-04-21T00:00:00+07:00	8000	8800	7200	8000	8100	7800		8100	105200	829140000
CPC	2016-04-21T00:00:00+07:00	22600	24800	20400	0	0	0		22600	0	0
CSC	2016-04-21T00:00:00+07:00	14000	15400	12600	0	0	0		14000	0	0
CT6	2016-04-21T00:00:00+07:00	9000	9900	8100	0	0	0		9000	0	0
CTA	2016-04-21T00:00:00+07:00	4100	4500	3700	3700	4100	3700		4100	29000	109590000
CTB	2016-04-21T00:00:00+07:00	30500	33500	27500	0	0	0		30500	0	0
CTC	2016-04-21T00:00:00+07:00	7700	8400	7000	8100	8400	8100		8400	900	7530000
CTN	2016-04-21T00:00:00+07:00	2300	2500	2100	0	0	0		2300	0	0
CTS	2016-04-21T00:00:00+07:00	6900	7500	6300	7000	7100	7000		7100	428800	3030880000
CTT	2016-04-21T00:00:00+07:00	6700	7300	6100	0	0	0		6700	0	0
CTX	2016-04-21T00:00:00+07:00	19600	21500	17700	20000	20000	18500		18500	12200	229050000
CVN	2016-04-21T00:00:00+07:00	2200	2400	2000	2100	2200	2100		2200	900	1900000
CVT	2016-04-21T00:00:00+07:00	23400	25700	21100	23500	24500	23500		24100	593702	14334998000
CX8	2016-04-21T00:00:00+07:00	9200	10100	8300	9200	9200	8800		8800	200	1800000
D11	2016-04-21T00:00:00+07:00	9700	10600	8800	0	0	0		9700	0	0
DAD	2016-04-21T00:00:00+07:00	16400	18000	14800	17400	17400	17400		17400	100	1740000
DAE	2016-04-21T00:00:00+07:00	15700	17200	14200	15700	15700	15700		15700	100	1570000
DBC	2016-04-21T00:00:00+07:00	29200	32100	26300	29400	29400	29200		29300	68091	1998184400
DBT	2016-04-21T00:00:00+07:00	18000	19800	16200	17600	18000	17200		17200	25416	441393800
DC2	2016-04-21T00:00:00+07:00	4400	4800	4000	0	0	0		4400	0	0
DC4	2016-04-21T00:00:00+07:00	6500	7100	5900	7100	7100	7100		7100	100	710000
DCS	2016-04-21T00:00:00+07:00	3200	3500	2900	3200	3200	3100		3200	105795	338314500
DGC	2016-04-21T00:00:00+07:00	46000	50600	41400	46000	47500	46000		46600	39120	1821950000
DGL	2016-04-21T00:00:00+07:00	45000	49500	40500	45500	46200	45100		46100	10529	483793800
DHP	2016-04-21T00:00:00+07:00	12600	13800	11400	12700	12900	12500		12500	76800	970230000
DHT	2016-04-21T00:00:00+07:00	41900	46000	37800	41300	43700	41300		43700	2100	88000000
DID	2016-04-21T00:00:00+07:00	4800	5200	4400	0	0	0		4800	0	0
DIH	2016-04-21T00:00:00+07:00	11000	12100	9900	11000	11000	10400		11000	10600	111940000
DL1	2016-04-21T00:00:00+07:00	10100	11100	9100	9800	9900	9600		9900	40100	391210000
DLR	2016-04-21T00:00:00+07:00	6000	6600	5400	0	0	0		6000	0	0
DNC	2016-04-21T00:00:00+07:00	20900	22900	18900	0	0	0		20900	0	0
DNM	2016-04-21T00:00:00+07:00	35000	38500	31500	32000	32000	32000		32000	550	17575000
DNP	2016-04-21T00:00:00+07:00	35900	39400	32400	36800	39400	36500		39400	82428	3117737000
DNY	2016-04-21T00:00:00+07:00	8400	9200	7600	8400	9100	7600		7600	62310	495486000
DP3	2016-04-21T00:00:00+07:00	20000	22000	18000	21500	21500	21500		21500	100	2150000
DPC	2016-04-21T00:00:00+07:00	36000	39600	32400	0	0	0		36000	0	0
DPS	2016-04-21T00:00:00+07:00	6800	7400	6200	6900	7200	6600		6600	248200	1694930000
DST	2016-04-21T00:00:00+07:00	40200	44200	36200	40900	40900	39200		40400	296200	11951380000
