stocksymbol	datereport	priorcloseprice	ceiling	floor	openprice	highest	lowest	last	totalshare	totalvalue
AAM	2016-04-21T00:00:00+07:00	10100.0000	10800.0000	9400.0000	10400.0000	10500.0000	10100.0000	10100.0000	3300	33720000
ABT	2016-04-21T00:00:00+07:00	48500.0000	51500.0000	45200.0000	46900.0000	49500.0000	46900.0000	49500.0000	30	1460000
ACC	2016-04-21T00:00:00+07:00	27700.0000	29600.0000	25800.0000	27100.0000	27500.0000	27100.0000	27500.0000	1760	47780000
ACL	2016-04-21T00:00:00+07:00	9900.0000	10500.0000	9300.0000	0.0000	0.0000	0.0000	9900.0000	0	0
AGF	2016-04-21T00:00:00+07:00	11400.0000	12100.0000	10700.0000	11500.0000	12100.0000	10700.0000	11000.0000	8090	88630000
AGM	2016-04-21T00:00:00+07:00	13200.0000	14100.0000	12300.0000	13400.0000	13400.0000	12800.0000	13200.0000	20230	263110000
AGR	2016-04-21T00:00:00+07:00	2900.0000	3100.0000	2700.0000	2900.0000	3000.0000	2900.0000	3000.0000	58180	168740000
AMD	2016-04-21T00:00:00+07:00	11700.0000	12500.0000	10900.0000	11600.0000	11900.0000	11600.0000	11800.0000	1358810	15998540000
ANV	2016-04-21T00:00:00+07:00	7100.0000	7500.0000	6700.0000	7100.0000	7400.0000	6800.0000	7400.0000	1550	10880000
APC	2016-04-21T00:00:00+07:00	16800.0000	17900.0000	15700.0000	16800.0000	17100.0000	16700.0000	16800.0000	28600	482860000
ASM	2016-04-21T00:00:00+07:00	17900.0000	19100.0000	16700.0000	17800.0000	18100.0000	17800.0000	18000.0000	1019620	18323460000
ASP	2016-04-21T00:00:00+07:00	5800.0000	6200.0000	5400.0000	5400.0000	5600.0000	5400.0000	5400.0000	173540	940070000
ATA	2016-04-21T00:00:00+07:00	6300.0000	6700.0000	5900.0000	6000.0000	6100.0000	5900.0000	5900.0000	370140	2197300000
BBC	2016-04-21T00:00:00+07:00	70000.0000	74500.0000	65500.0000	70000.0000	71000.0000	69500.0000	70000.0000	8840	615800000
BCE	2016-04-21T00:00:00+07:00	6500.0000	6900.0000	6100.0000	6500.0000	6800.0000	6500.0000	6700.0000	157920	1051100000
BCG	2016-04-21T00:00:00+07:00	6700.0000	7100.0000	6300.0000	6800.0000	7100.0000	6700.0000	7000.0000	572640	3979900000
BCI	2016-04-21T00:00:00+07:00	24400.0000	26100.0000	22700.0000	24100.0000	24400.0000	23800.0000	23800.0000	35610	860560000
BFC	2016-04-21T00:00:00+07:00	32300.0000	34500.0000	30100.0000	32200.0000	32500.0000	32000.0000	32100.0000	67550	2171730000
BGM	2016-04-21T00:00:00+07:00	2800.0000	2900.0000	2700.0000	2800.0000	2900.0000	2700.0000	2700.0000	1264000	3448120000
BHS	2016-04-21T00:00:00+07:00	18900.0000	20200.0000	17600.0000	18900.0000	20000.0000	18900.0000	20000.0000	7285760	141126170000
BIC	2016-04-21T00:00:00+07:00	20200.0000	21600.0000	18800.0000	20500.0000	20900.0000	20200.0000	20300.0000	33370	680790000
BID	2016-04-21T00:00:00+07:00	15700.0000	16700.0000	14700.0000	15800.0000	15900.0000	15600.0000	15900.0000	854710	13473570000
BMC	2016-04-21T00:00:00+07:00	17100.0000	18200.0000	16000.0000	16900.0000	17100.0000	16900.0000	17000.0000	1200	20400000
BMI	2016-04-21T00:00:00+07:00	23800.0000	25400.0000	22200.0000	24000.0000	24000.0000	22400.0000	24000.0000	36420	868500000
BMP	2016-04-21T00:00:00+07:00	133000.0000	142000.0000	124000.0000	135000.0000	137000.0000	134000.0000	135000.0000	105960	14265950000
BRC	2016-04-21T00:00:00+07:00	10100.0000	10800.0000	9400.0000	9700.0000	10200.0000	9700.0000	10200.0000	5410	52480000
BSI	2016-04-21T00:00:00+07:00	9400.0000	10000.0000	8800.0000	9400.0000	9700.0000	9300.0000	9300.0000	1400	13130000
BTP	2016-04-21T00:00:00+07:00	16800.0000	17900.0000	15700.0000	15700.0000	15800.0000	15700.0000	15700.0000	146890	2306270000
BTT	2016-04-21T00:00:00+07:00	37100.0000	39600.0000	34600.0000	0.0000	0.0000	0.0000	37100.0000	0	0
BVH	2016-04-21T00:00:00+07:00	51500.0000	55000.0000	47900.0000	51000.0000	54500.0000	51000.0000	53000.0000	512950	27272500000
C32	2016-04-21T00:00:00+07:00	47500.0000	50500.0000	44200.0000	47500.0000	50500.0000	47500.0000	50500.0000	276740	13645180000
C47	2016-04-21T00:00:00+07:00	12500.0000	13300.0000	11700.0000	12400.0000	13300.0000	12200.0000	13200.0000	244010	3161460000
CAV	2016-04-21T00:00:00+07:00	73500.0000	78500.0000	68500.0000	73500.0000	74500.0000	73500.0000	74500.0000	92240	6825020000
CCI	2016-04-21T00:00:00+07:00	11000.0000	11700.0000	10300.0000	0.0000	0.0000	0.0000	11000.0000	0	0
CCL	2016-04-21T00:00:00+07:00	3900.0000	4100.0000	3700.0000	3700.0000	3700.0000	3700.0000	3700.0000	182440	675030000
CDC	2016-04-21T00:00:00+07:00	9400.0000	10000.0000	8800.0000	9600.0000	9600.0000	9100.0000	9400.0000	1630	15070000
CDO	2016-04-21T00:00:00+07:00	29400.0000	31400.0000	27400.0000	29400.0000	29500.0000	29300.0000	29400.0000	1099880	32365030000
CIG	2016-04-21T00:00:00+07:00	1900.0000	2000.0000	1800.0000	1900.0000	1900.0000	1900.0000	1900.0000	200	380000
CII	2016-04-21T00:00:00+07:00	24600.0000	26300.0000	22900.0000	24600.0000	24800.0000	24400.0000	24800.0000	2448200	59903250000
CLC	2016-04-21T00:00:00+07:00	60000.0000	64000.0000	56000.0000	59000.0000	60000.0000	59000.0000	60000.0000	11640	686780000
CLG	2016-04-21T00:00:00+07:00	3800.0000	4000.0000	3600.0000	3700.0000	3900.0000	3600.0000	3900.0000	20470	74280000
CLL	2016-04-21T00:00:00+07:00	25000.0000	26700.0000	23300.0000	24500.0000	25900.0000	24500.0000	25300.0000	32970	837100000
CLW	2016-04-21T00:00:00+07:00	18200.0000	19400.0000	17000.0000	0.0000	0.0000	0.0000	18200.0000	0	0
CMG	2016-04-21T00:00:00+07:00	14600.0000	15600.0000	13600.0000	14600.0000	15400.0000	14600.0000	14900.0000	25800	383700000
CMT	2016-04-21T00:00:00+07:00	13800.0000	14700.0000	12900.0000	12900.0000	13700.0000	12900.0000	13700.0000	70	920000
CMV	2016-04-21T00:00:00+07:00	14600.0000	15600.0000	13600.0000	14600.0000	14600.0000	14500.0000	14500.0000	12000	175000000
CMX	2016-04-21T00:00:00+07:00	4900.0000	5200.0000	4600.0000	4900.0000	4900.0000	4700.0000	4900.0000	7070	34110000
CNG	2016-04-21T00:00:00+07:00	38000.0000	40600.0000	35400.0000	38900.0000	39200.0000	38300.0000	39000.0000	135630	5272930000
COM	2016-04-21T00:00:00+07:00	46000.0000	49200.0000	42800.0000	42800.0000	44900.0000	42800.0000	44900.0000	20	880000
CSM	2016-04-21T00:00:00+07:00	31400.0000	33500.0000	29300.0000	31300.0000	31800.0000	31300.0000	31600.0000	298860	9436450000
CSV	2016-04-21T00:00:00+07:00	23000.0000	24600.0000	21400.0000	23000.0000	23800.0000	22800.0000	23200.0000	249620	5804930000
CTD	2016-04-21T00:00:00+07:00	170000.0000	181000.0000	159000.0000	178000.0000	178000.0000	170000.0000	170000.0000	356510	62757140000
CTG	2016-04-21T00:00:00+07:00	16000.0000	17100.0000	14900.0000	16100.0000	16100.0000	15900.0000	16000.0000	436360	6989450000
CTI	2016-04-21T00:00:00+07:00	22500.0000	24000.0000	21000.0000	22600.0000	22900.0000	22600.0000	22700.0000	164850	3746350000
CYC	2016-04-21T00:00:00+07:00	2900.0000	3100.0000	2700.0000	0.0000	0.0000	0.0000	2900.0000	0	0
D2D	2016-04-21T00:00:00+07:00	31000.0000	33100.0000	28900.0000	33100.0000	33100.0000	33000.0000	33100.0000	550	18160000
DAG	2016-04-21T00:00:00+07:00	11100.0000	11800.0000	10400.0000	11100.0000	11300.0000	11100.0000	11200.0000	191860	2152330000
DAT	2016-04-21T00:00:00+07:00	33600.0000	35900.0000	31300.0000	33700.0000	33900.0000	33700.0000	33900.0000	11710	395980000
DCL	2016-04-21T00:00:00+07:00	22800.0000	24300.0000	21300.0000	24300.0000	24300.0000	23100.0000	24300.0000	404350	9771070000
DCM	2016-04-21T00:00:00+07:00	12700.0000	13500.0000	11900.0000	12700.0000	12800.0000	12700.0000	12800.0000	53110	675810000
DGW	2016-04-21T00:00:00+07:00	26200.0000	28000.0000	24400.0000	26900.0000	26900.0000	26600.0000	26600.0000	22850	610480000
DHA	2016-04-21T00:00:00+07:00	24100.0000	25700.0000	22500.0000	24100.0000	24100.0000	23600.0000	23900.0000	74630	1778550000
DHC	2016-04-21T00:00:00+07:00	36800.0000	39300.0000	34300.0000	36800.0000	37200.0000	36700.0000	37200.0000	113050	4169250000
DHG	2016-04-21T00:00:00+07:00	84500.0000	90000.0000	79000.0000	85000.0000	85500.0000	84000.0000	85000.0000	65360	5535190000
DHM	2016-04-21T00:00:00+07:00	10700.0000	11400.0000	10000.0000	10600.0000	10800.0000	10200.0000	10800.0000	1597940	16796650000
DIC	2016-04-21T00:00:00+07:00	6600.0000	7000.0000	6200.0000	6600.0000	6800.0000	6600.0000	6800.0000	181320	1221910000
DIG	2016-04-21T00:00:00+07:00	7800.0000	8300.0000	7300.0000	7800.0000	8100.0000	7700.0000	8000.0000	864080	6843880000
DLG	2016-04-21T00:00:00+07:00	7300.0000	7800.0000	6800.0000	7300.0000	7300.0000	7100.0000	7200.0000	1259930	9096260000
DMC	2016-04-21T00:00:00+07:00	72000.0000	77000.0000	67000.0000	73000.0000	73500.0000	72000.0000	72500.0000	70920	5148690000
DPM	2016-04-21T00:00:00+07:00	29700.0000	31700.0000	27700.0000	29900.0000	29900.0000	29500.0000	29500.0000	521370	15455330000
DPR	2016-04-21T00:00:00+07:00	37600.0000	40200.0000	35000.0000	38400.0000	39000.0000	38100.0000	39000.0000	11900	457950000
DQC	2016-04-21T00:00:00+07:00	65500.0000	70000.0000	61000.0000	65000.0000	67000.0000	65000.0000	67000.0000	13710	904200000
DRC	2016-04-21T00:00:00+07:00	44700.0000	47800.0000	41600.0000	44800.0000	45200.0000	44800.0000	44900.0000	135700	6093240000
DRH	2016-04-21T00:00:00+07:00	36700.0000	39200.0000	34200.0000	38500.0000	38800.0000	37600.0000	38800.0000	144610	5534180000
DRL	2016-04-21T00:00:00+07:00	34000.0000	36300.0000	31700.0000	0.0000	0.0000	0.0000	34000.0000	0	0
DSN	2016-04-21T00:00:00+07:00	63500.0000	67500.0000	59500.0000	63500.0000	63500.0000	63000.0000	63000.0000	15110	958390000
DTA	2016-04-21T00:00:00+07:00	5000.0000	5300.0000	4700.0000	5100.0000	5100.0000	5100.0000	5100.0000	50	260000
DTL	2016-04-21T00:00:00+07:00	10600.0000	11300.0000	9900.0000	10400.0000	10400.0000	10000.0000	10000.0000	3000	30350000
