code	trading_date	basic_price	ceiling_price	floor_price	open_price	highest_price	lowest_price	average_price	close_price	nm_total_traded_qtty	nm_total_traded_value
ABI	2016-04-21T00:00:00+07:00	14100	16200	12000	14000	14400	14000		14400	3300	47200000
ACE	2016-04-21T00:00:00+07:00	25100	28800	21400	27000	27000	27000		27000	100	2700000
ADP	2016-04-21T00:00:00+07:00	34800	40000	29600	36000	40000	36000		40000	1800	70100000
AGP	2016-04-21T00:00:00+07:00	30000	34500	25500	0	0	0		30000	0	0
AGX	2016-04-21T00:00:00+07:00	29000	33300	24700	33300	33300	33300		33300	1000	33300000
ASD	2016-04-21T00:00:00+07:00	800	1100	500	0	0	0		800	0	0
AVF	2016-04-21T00:00:00+07:00	800	900	700	800	800	700		800	351500	275620000
BCP	2016-04-21T00:00:00+07:00	9000	10300	7700	0	0	0		9000	0	0
BDG	2016-04-21T00:00:00+07:00	15500	17800	13200	16500	16500	16500		16500	200	3300000
BDW	2016-04-21T00:00:00+07:00	10000	14000	6000	0	0	0		10000	0	0
BHC	2016-04-21T00:00:00+07:00	2400	2700	2100	0	0	0		2200	0	0
BHP	2016-04-21T00:00:00+07:00	7500	8600	6400	0	0	0		7500	0	0
BLI	2016-04-21T00:00:00+07:00	7000	8000	6000	6100	6100	6100		6100	700	4270000
BMJ	2016-04-21T00:00:00+07:00	12300	14100	10500	0	0	0		12300	0	0
BMN	2016-04-21T00:00:00+07:00	10000	14000	6000	0	0	0		0	0	0
BTC	2016-04-21T00:00:00+07:00	50000	57500	42500	0	0	0		50000	0	0
BTG	2016-04-21T00:00:00+07:00	3700	5100	2300	0	0	0		4500	0	0
BTU	2016-04-21T00:00:00+07:00	10500	14700	6300	0	0	0		0	0	0
BTW	2016-04-21T00:00:00+07:00	16700	19200	14200	15300	15300	15300		15300	100	1530000
BVG	2016-04-21T00:00:00+07:00	1600	1800	1400	1700	1700	1500		1600	1200	1840000
BVN	2016-04-21T00:00:00+07:00	8200	9400	7000	7800	7800	7000		7000	10600	76030000
BWA	2016-04-21T00:00:00+07:00	4800	6700	2900	0	0	0		4800	0	0
C71	2016-04-21T00:00:00+07:00	12800	14700	10900	0	0	0		12800	0	0
CAD	2016-04-21T00:00:00+07:00	1900	2100	1700	1900	1900	1700		1800	11113	19344700
CCR	2016-04-21T00:00:00+07:00	11800	13500	10100	0	0	0		11800	0	0
CDN	2016-04-21T00:00:00+07:00	23500	27000	20000	23900	24000	23900		24000	600	14390000
CEC	2016-04-21T00:00:00+07:00	26000	29900	22100	23000	24600	23000		24600	2145	49567000
CFC	2016-04-21T00:00:00+07:00	10200	11700	8700	0	0	0		10400	0	0
CGP	2016-04-21T00:00:00+07:00	5500	6300	4700	0	0	0		5500	0	0
CI5	2016-04-21T00:00:00+07:00	17800	20400	15200	0	0	0		17800	0	0
CKD	2016-04-21T00:00:00+07:00	10500	12000	9000	0	0	0		10500	0	0
CMK	2016-04-21T00:00:00+07:00	12400	17300	7500	0	0	0		0	0	0
CMP	2016-04-21T00:00:00+07:00	10300	14400	6200	0	0	0		0	0	0
CNC	2016-04-21T00:00:00+07:00	33300	38200	28400	37000	37000	37000		37000	100	3700000
CNH	2016-04-21T00:00:00+07:00	9500	13300	5700	0	0	0		9500	0	0
CNT	2016-04-21T00:00:00+07:00	4100	4700	3500	3500	3500	3500		3500	100	350000
CT3	2016-04-21T00:00:00+07:00	12300	14100	10500	0	0	0		12300	0	0
CXH	2016-04-21T00:00:00+07:00	11000	12600	9400	0	0	0		11000	0	0
CZC	2016-04-21T00:00:00+07:00	13800	15800	11800	0	0	0		13800	0	0
D26	2016-04-21T00:00:00+07:00	5100	5800	4400	0	0	0		5100	0	0
DAC	2016-04-21T00:00:00+07:00	5600	6400	4800	4800	4800	4800		4800	500	2400000
DAP	2016-04-21T00:00:00+07:00	21100	24200	18000	0	0	0		21100	0	0
DAS	2016-04-21T00:00:00+07:00	3600	5000	2200	0	0	0		3600	0	0
DBM	2016-04-21T00:00:00+07:00	25000	28700	21300	0	0	0		25000	0	0
DCD	2016-04-21T00:00:00+07:00	7700	8800	6600	0	0	0		7700	0	0
DCT	2016-04-21T00:00:00+07:00	1700	1900	1500	1700	1800	1700		1800	5520	9914000
DDM	2016-04-21T00:00:00+07:00	1100	1200	1000	1100	1100	1100		1100	53000	58300000
DDN	2016-04-21T00:00:00+07:00	31600	36300	26900	31000	31000	31000		31000	100	3100000
DDV	2016-04-21T00:00:00+07:00	10500	12000	9000	10400	10500	9800		10100	209830	2113510000
DGT	2016-04-21T00:00:00+07:00	6900	7900	5900	0	0	0		6900	0	0
DLC	2016-04-21T00:00:00+07:00	34800	40000	29600	0	0	0		34800	0	0
DLD	2016-04-21T00:00:00+07:00	6000	6900	5100	0	0	0		6000	0	0
DLT	2016-04-21T00:00:00+07:00	16500	18900	14100	0	0	0		16500	0	0
DNF	2016-04-21T00:00:00+07:00	2200	3000	1400	0	0	0		2200	0	0
DNL	2016-04-21T00:00:00+07:00	13800	15800	11800	0	0	0		13900	0	0
DNS	2016-04-21T00:00:00+07:00	18400	25700	11100	0	0	0		18400	0	0
DNW	2016-04-21T00:00:00+07:00	16600	19000	14200	0	0	0		16600	0	0
DOP	2016-04-21T00:00:00+07:00	14800	20700	8900	0	0	0		0	0	0
DPP	2016-04-21T00:00:00+07:00	14600	16700	12500	15500	15500	15500		15500	400	6200000
DTC	2016-04-21T00:00:00+07:00	6700	7700	5700	7400	7400	7400		7400	1000	7400000
DTN	2016-04-21T00:00:00+07:00	9500	10900	8100	0	0	0		9500	0	0
DTV	2016-04-21T00:00:00+07:00	1100	1200	1000	0	0	0		1100	0	0
DVC	2016-04-21T00:00:00+07:00	11800	13500	10100	0	0	0		11800	0	0
DVH	2016-04-21T00:00:00+07:00	6000	6900	5100	0	0	0		7000	0	0
DXL	2016-04-21T00:00:00+07:00	2800	3200	2400	0	0	0		2800	0	0
FBA	2016-04-21T00:00:00+07:00	1900	2100	1700	0	0	0		1900	0	0
GDW	2016-04-21T00:00:00+07:00	18200	20900	15500	15600	15600	15600		15600	100	1560000
GER	2016-04-21T00:00:00+07:00	4400	5000	3800	0	0	0		4400	0	0
GEX	2016-04-21T00:00:00+07:00	23400	26900	19900	23500	23500	23200		23300	222220	5176138000
GGG	2016-04-21T00:00:00+07:00	1500	1700	1300	1500	1500	1400		1500	122300	173081600
GHC	2016-04-21T00:00:00+07:00	21600	24800	18400	21600	21600	21600		21600	500	10800000
GSM	2016-04-21T00:00:00+07:00	8200	9400	7000	8100	8200	8100		8200	10200	83440000
GTC	2016-04-21T00:00:00+07:00	3500	4900	2100	0	0	0		0	0	0
GTH	2016-04-21T00:00:00+07:00	4000	4600	3400	0	0	0		4000	0	0
H11	2016-04-21T00:00:00+07:00	4800	5500	4100	0	0	0		4200	0	0
HBD	2016-04-21T00:00:00+07:00	21700	24900	18500	0	0	0		21700	0	0
HBI	2016-04-21T00:00:00+07:00	14200	16300	12100	0	0	0		14200	0	0
HCI	2016-04-21T00:00:00+07:00	21300	24400	18200	0	0	0		21300	0	0
HDM	2016-04-21T00:00:00+07:00	66000	75900	56100	66000	66000	66000		66000	100	6600000
HFC	2016-04-21T00:00:00+07:00	11200	12800	9600	0	0	0		11200	0	0
HFX	2016-04-21T00:00:00+07:00	1400	1900	900	0	0	0		1400	0	0
HHA	2016-04-21T00:00:00+07:00	46800	53800	39800	42000	42000	42000		42000	100	4200000
HHV	2016-04-21T00:00:00+07:00	14000	16100	11900	14000	14000	14000		14000	100	1400000
HIG	2016-04-21T00:00:00+07:00	8100	9300	6900	7900	8000	7600		7800	56100	441340000
HJC	2016-04-21T00:00:00+07:00	8100	9300	6900	0	0	0		8100	0	0
HKP	2016-04-21T00:00:00+07:00	12000	13800	10200	13400	13400	13400		13400	500	6700000
HLA	2016-04-21T00:00:00+07:00	1000	1100	900	1000	1000	1000		1000	102200	102200000
HNB	2016-04-21T00:00:00+07:00	35600	40900	30300	0	0	0		35600	0	0
HNF	2016-04-21T00:00:00+07:00	13000	14900	11100	12300	13500	12300		13500	17200	226390000
HPB	2016-04-21T00:00:00+07:00	16700	19200	14200	0	0	0		16700	0	0
HPD	2016-04-21T00:00:00+07:00	12000	13800	10200	12000	13500	12000		13500	2000	25500000
HPP	2016-04-21T00:00:00+07:00	41100	47200	35000	0	0	0		41100	0	0
HPT	2016-04-21T00:00:00+07:00	5700	6500	4900	0	0	0		5700	0	0
HSI	2016-04-21T00:00:00+07:00	1200	1300	1100	1200	1200	1200		1200	100	120000
HU4	2016-04-21T00:00:00+07:00	8500	9700	7300	0	0	0		8500	0	0
HU6	2016-04-21T00:00:00+07:00	11500	16100	6900	0	0	0		11500	0	0
I10	2016-04-21T00:00:00+07:00	800	1100	500	0	0	0		0	0	0
ICI	2016-04-21T00:00:00+07:00	7300	8300	6300	0	0	0		7300	0	0
ICN	2016-04-21T00:00:00+07:00	16200	18600	13800	0	0	0		16200	0	0
IFC	2016-04-21T00:00:00+07:00	13700	15700	11700	13500	13500	13500		13500	200	2700000
IHK	2016-04-21T00:00:00+07:00	6400	8900	3900	8900	8900	8900		8900	100	890000
IME	2016-04-21T00:00:00+07:00	45000	51700	38300	0	0	0		45000	0	0
IN4	2016-04-21T00:00:00+07:00	31600	36300	26900	26900	26900	26900		26900	500	13450000
ISG	2016-04-21T00:00:00+07:00	2000	2800	1200	0	0	0		2000	0	0
ISH	2016-04-21T00:00:00+07:00	11000	12600	9400	0	0	0		11000	0	0
ITS	2016-04-21T00:00:00+07:00	8900	10200	7600	9000	9400	8500		8900	29024	255387400
JSC	2016-04-21T00:00:00+07:00	2300	3200	1400	0	0	0		2500	0	0
KBE	2016-04-21T00:00:00+07:00	13000	14900	11100	0	0	0		14000	0	0
KCB	2016-04-21T00:00:00+07:00	3000	3400	2600	2600	2600	2600		2600	600	1560000
KCE	2016-04-21T00:00:00+07:00	17000	19500	14500	0	0	0		17000	0	0
KIP	2016-04-21T00:00:00+07:00	19500	27300	11700	0	0	0		0	0	0
KSC	2016-04-21T00:00:00+07:00	400	500	300	0	0	0		400	0	0
KTB	2016-04-21T00:00:00+07:00	1900	2100	1700	0	0	0		1900	0	0
KTL	2016-04-21T00:00:00+07:00	15800	18100	13500	16000	16600	15600		16200	15900	255410000
LAI	2016-04-21T00:00:00+07:00	16400	22900	9900	0	0	0		17000	0	0
LAW	2016-04-21T00:00:00+07:00	14000	16100	11900	0	0	0		14000	0	0
LCC	2016-04-21T00:00:00+07:00	1200	1600	800	0	0	0		1200	0	0
LKW	2016-04-21T00:00:00+07:00	10900	12500	9300	0	0	0		10900	0	0
LM3	2016-04-21T00:00:00+07:00	3400	3900	2900	2900	2900	2900		2900	600	1740000
MCI	2016-04-21T00:00:00+07:00	3000	4200	1800	0	0	0		0	0	0
MDF	2016-04-21T00:00:00+07:00	5400	6200	4600	6200	6200	6200		6200	400	2480000
MEF	2016-04-21T00:00:00+07:00	900	1200	600	0	0	0		900	0	0
MIC	2016-04-21T00:00:00+07:00	7200	8200	6200	0	0	0		7200	0	0
MKT	2016-04-21T00:00:00+07:00	18000	20700	15300	0	0	0		18000	0	0
MMC	2016-04-21T00:00:00+07:00	1800	2000	1600	0	0	0		1800	0	0
MSR	2016-04-21T00:00:00+07:00	23700	27200	20200	24400	24500	23300		24000	350362	8382949000
MTA	2016-04-21T00:00:00+07:00	5800	6600	5000	5900	6100	5700		6000	135300	795900000
MTC	2016-04-21T00:00:00+07:00	9900	13800	6000	0	0	0		10000	0	0
MTG	2016-04-21T00:00:00+07:00	2300	2600	2000	2600	2600	2000		2400	29710	62056000
MTH	2016-04-21T00:00:00+07:00	20200	23200	17200	0	0	0		20200	0	0
MTM	2016-04-21T00:00:00+07:00	6500	7400	5600	6700	7400	6400		7400	657000	4677520000
MTP	2016-04-21T00:00:00+07:00	13700	15700	11700	0	0	0		13600	0	0
NBS	2016-04-21T00:00:00+07:00	46000	52900	39100	0	0	0		46000	0	0
NBW	2016-04-21T00:00:00+07:00	15300	17500	13100	0	0	0		15300	0	0
NCS	2016-04-21T00:00:00+07:00	72100	82900	61300	75000	78000	75000		76000	27516	2116224000
ND2	2016-04-21T00:00:00+07:00	12000	13800	10200	11600	11600	11600		11600	2800	32480000
NDC	2016-04-21T00:00:00+07:00	27000	31000	23000	0	0	0		27000	0	0
NDP	2016-04-21T00:00:00+07:00	26400	30300	22500	22500	22500	22500		22500	600	13500000
NHN	2016-04-21T00:00:00+07:00	32800	37700	27900	0	0	0		32800	0	0
NMK	2016-04-21T00:00:00+07:00	14900	17100	12700	15000	15000	15000		15000	500	7500000
NNG	2016-04-21T00:00:00+07:00	14900	17100	12700	15000	15000	14500		14500	6100	90230000
NNT	2016-04-21T00:00:00+07:00	16500	18900	14100	0	0	0		16500	0	0
NOS	2016-04-21T00:00:00+07:00	800	900	700	900	900	800		900	11200	9580000
NPH	2016-04-21T00:00:00+07:00	10000	11500	8500	0	0	0		10000	0	0
NQB	2016-04-21T00:00:00+07:00	10000	14000	6000	0	0	0		0	0	0
NTB	2016-04-21T00:00:00+07:00	1400	1600	1200	1600	1600	1400		1600	531300	790230000
NTW	2016-04-21T00:00:00+07:00	35500	40800	30200	30900	34600	30900		34600	200	6550000
NWT	2016-04-21T00:00:00+07:00	6000	6900	5100	0	0	0		6000	0	0
PEC	2016-04-21T00:00:00+07:00	9000	10300	7700	0	0	0		9000	0	0
PEQ	2016-04-21T00:00:00+07:00	9600	11000	8200	0	0	0		9600	0	0
PFL	2016-04-21T00:00:00+07:00	1400	1600	1200	1500	1600	1500		1600	303100	482340000
PHH	2016-04-21T00:00:00+07:00	6400	7300	5500	7000	7300	7000		7000	6300	45190000
PIC	2016-04-21T00:00:00+07:00	11400	13100	9700	11400	11400	11400		11400	1700	19380000
PID	2016-04-21T00:00:00+07:00	2000	2800	1200	0	0	0		2000	0	0
PIS	2016-04-21T00:00:00+07:00	10000	14000	6000	0	0	0		0	0	0
PJS	2016-04-21T00:00:00+07:00	13500	15500	11500	15400	15400	15400		15400	100	1540000
PMT	2016-04-21T00:00:00+07:00	3200	3600	2800	0	0	0		3200	0	0
PNG	2016-04-21T00:00:00+07:00	20700	23800	17600	0	0	0		20700	0	0
POV	2016-04-21T00:00:00+07:00	9000	10300	7700	9000	9000	9000		9000	3000	27000000
PPG	2016-04-21T00:00:00+07:00	1400	1600	1200	1300	1400	1300		1400	7010	9644000
PRO	2016-04-21T00:00:00+07:00	7100	8100	6100	7200	7300	7000		7000	30000	217000000
PSB	2016-04-21T00:00:00+07:00	4700	5400	4000	4800	4800	4800		4800	1300	6219000
PSG	2016-04-21T00:00:00+07:00	800	900	700	900	900	800		800	63500	50860000
PSL	2016-04-21T00:00:00+07:00	80600	92600	68600	0	0	0		81000	0	0
PSP	2016-04-21T00:00:00+07:00	11200	12800	9600	11500	11500	11200		11200	2200	24740000
PTE	2016-04-21T00:00:00+07:00	2700	3100	2300	3100	3100	3100		3100	2000	6200000
PTG	2016-04-21T00:00:00+07:00	700	900	500	0	0	0		700	0	0
PTH	2016-04-21T00:00:00+07:00	6900	7900	5900	0	0	0		6900	0	0
PTK	2016-04-21T00:00:00+07:00	1700	1900	1500	0	0	0		1700	0	0
